	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
161176	39.79	36.53	71	10.63	17.77	7.11	4.86	21.78	77.79	15.8	26.86	38.95	23.08	49.21	55.49	30.34	37.05
161198	438.59	234.57	1023	258.57	486.75	441.64	129.69	493.56	412	371.22	688.78	269.6	125.24	825	314.17	414.87	287.01
161247	22.59	23.59	50.63	13.22	17.9	13.03	23.76	19.25	12.55	14.35	31.67	26.1	13.62	13.52	15.34	10.63	11.04
161253	0.46	6.21	4.9	4.1	10.31	3.06	4.43	6.36	3.06	6.21	16.15	5.73	10.79	3.69	4.43	6.67	2.25
161291	45.53	21.16	244.57	1127.35	902.89	1001.93	503.95	279.14	67.59	743.43	547.75	30.56	1794.29	432.53	37.32	1242.34	1199.98
161394	11.3	11.82	10.96	12.09	20.71	9.34	2.81	3.17	4.31	3.72	3.2	2.63	3.86	17.77	4.39	12.83	14.24
161424	368.65	414.87	387.02	329.84	260.38	260.38	253.23	332.14	400.71	327.56	234.57	332.14	258.57	256.78	438.59	297.17	329.84
161436	46.84	57.89	53.95	33.3	37.85	28.04	27.84	56.68	57.08	21.01	30.78	55.89	28.04	36.79	52.45	24.81	40.93
161497	0	3.99	4.1	8.13	1.87	4.7	2.01	25.91	0	1.68	2.51	0	9.41	5.5	0.46	8.25	8.45
161502	0	0	2.84	0	0.38	0.34	0.8	7.06	0	1.23	1.77	0.88	1.06	3.99	4.35	2.34	0
